id_cliente,genero,regiao,faixa_etaria,renda_mensal,score_bureau,tempo_emprego_meses,y_real,score_modelo_v1,pred_v1,score_modelo_v2,pred_v2,obs_internas
C00001,F,Sudeste,60+,5555.61,804,251,1,0.997389,1,0.97092,1,
C00002,M,Sul,18-25,2288.53,793,7,1,0.540415,1,0.819357,1,
C00003,M,Sudeste,26-40,3504.17,598,66,1,0.424405,0,0.512062,1,
C00004,M,Sudeste,18-25,1985.32,594,29,0,0.190167,0,0.363103,0,
C00005,F,Nordeste,18-25,2641.19,740,12,1,0.481797,0,0.756537,1,
C00006,F,Norte,18-25,2083.1,663,12,1,0.151451,0,0.359601,0,
C00007,F,Nordeste,18-25,1000.0,499,0,0,0.039136,0,0.123089,0,
C00008,M,Sudeste,26-40,3698.24,596,66,1,0.26656,0,0.330631,0,
C00009,F,Sudeste,26-40,2248.31,565,25,0,0.21129,0,0.408495,0,
C00010,F,Sudeste,18-25,1611.14,632,0,0,0.170987,0,0.442531,0,
C00011,M,Nordeste,26-40,1349.25,indisponivel,85,0,0.0668,0,0.058313,0,
C00012,M,Sudeste,26-40,1387.18,480,46,0,0.071077,0,0.114739,0,
C00013,M,Sudeste,26-40,2893.33,608,136,1,0.730022,1,0.555905,1,
C00014,F,Sudeste,41-60,3064.23,564,81,0,0.331748,0,0.33968,0,
C00015,F,Nordeste,26-40,3480.84,561,0,0,0.25761,0,0.579972,1,
C00016,F,Sudeste,18-25,1079.85,696,0,0,0.123713,0,0.351256,0,
C00017,F,Nordeste,26-40,2581.53,670,48,1,0.463947,0,0.623216,1,
C00018,M,Norte,18-25,1777.73,646,64,1,0.341531,0,0.423478,0,
C00019,F,Sudeste,41-60,3606.73,581,146,1,0.709927,1,0.493071,0,
C00020,F,Norte,41-60,2915.04,568,129,0,0.621827,1,0.454774,0,
C00021,,Centro-Oeste,41-60,3735.44,487,143,0,0.313176,0,0.147417,0,
C00022,,Sudeste,18-25,1098.68,513,0,0,0.06976,0,0.207919,0,
C00023,,Sudeste,41-60,3142.37,517,142,0,0.616014,1,0.393769,0,
C00024,F,Sudeste,26-40,3461.34,687,34,1,0.633773,1,0.810515,1,
C00025,M,Nordeste,26-40,3055.0,655,69,0,0.554061,1,0.631588,1,
C00026,M,Sudeste,41-60,5198.84,682,170,1,0.935793,1,0.811506,1,
C00027,F,Sul,26-40,3180.75,772,53,1,0.773365,1,0.866031,1,
C00028,F,Nordeste,41-60,4267.14,638,184,1,0.937019,1,0.77173,1,
C00029,M,Sul,26-40,5083.79,663,80,1,0.795062,1,0.825346,1,
C00030,F,Norte,18-25,1705.12,601,0,0,0.12605,0,0.35452,0,
C00031,M,Sul,18-25,,697,29,1,0.51162,1,0.732268,1,
C00032,F,Sudeste,26-40,4115.28,643,16,1,0.272581,0,0.537998,1,
C00033,M,Nordeste,26-40,1536.32,592,35,0,0.196997,0,0.345813,0,
C00034,M,Norte,26-40,2174.97,647,26,1,0.311278,0,0.543785,1,
C00035,F,Nordeste,26-40,1900.37,626,46,1,0.204442,0,0.325359,0,
C00036,M,Nordeste,18-25,1184.51,782,50,1,0.596297,1,0.72962,1,
C00037,F,Sudeste,60+,1815.2,537,195,0,0.428069,0,0.106754,0,
C00038,M,Sudeste,26-40,2146.73,406,78,0,0.041837,0,0.040687,0,
C00039,M,Nordeste,18-25,2510.48,750,52,1,0.766412,1,0.859417,1,
C00040,F,Centro-Oeste,41-60,5973.02,760,148,1,0.971431,1,0.937512,1,
C00041,M,Sudeste,60+,-1500.0,627,240,1,0.971269,1,0.766432,1,
C00042,M,Nordeste,60+,8134.27,1500,180,1,0.962941,1,0.870673,1,
C00043,M,Sul,26-40,2590.55,760,148,1,1.7,1,0.879757,1,
C00044,M,Nordeste,18-25,4332.53,670,49,0,0.480062,0,0.645347,1,
C00045,M,Centro-Oeste,41-60,2654.77,562,149,1,0.492481,0,0.252056,0,
C00046,F,Sudeste,26-40,2327.61,462,0,0,0.032958,0,0.105797,0,
C00047,F,Sudeste,41-60,16110.61,856,170,1,0.991082,1,0.975433,1,
C00048,M,Sudeste,18-25,1168.16,561,7,0,0.079566,0,0.218128,0,
C00049,F,Sudeste,18-25,1105.61,587,0,0,0.033786,0,0.107903,0,
C00050,M,Sudeste,41-60,6157.73,797,226,1,0.994155,1,0.956964,1,
C00051,f,Norte,18-25,1120.43,511,2,0,0.014632,0,0.045742,0,
C00052,F,Sudeste ,41-60,4380.8,580,106,1,0.533054,1,0.465433,0,
C00053,M,Sudeste,41-60,2461.78,514,135,1,0.456571,2,0.270769,0,
C00054,F,Nordeste,26-40,2618.01,495,0,0,0.03897,0,0.126388,0,
C00055,M,Sudeste,41-60,5013.44,640,205,1,0.968695,1,0.83653,1,
C00056,F,Nordeste,41-60,4738.27,662,135,0,0.842959,1,0.730652,1,
C00057,F,Sudeste,41-60,3363.51,558,104,1,0.638431,1,0.573082,1,
C00058,F,Sul,26-40,5025.92,644,45,1,0.549153,1,0.718968,1,
C00059,M,Sudeste,41-60,1767.87,539,197,0,0.463344,0,0.117679,0,
C00060,M,Nordeste,26-40,1855.29,619,84,0,0.202998,0,0.198296,0,
C00060,M,Nordeste,41-60,10232.23,695,150,1,0.962147,1,0.916904,1,
C00062,F,Norte,41-60,1889.54,433,119,0,0.063075,0,0.033059,0,
C00063,M,Sudeste,41-60,6416.82,612,125,0,0.833262,1,0.747834,1,
C00064,F,Sudeste,41-60,2988.31,676,75,1,0.608467,1,0.662904,1,
C00065,F,Sul,60+,10588.16,713,210,1,0.988434,1,0.935448,1,
C00066,F,Sudeste,41-60,4593.06,534,143,0,0.457219,0,0.249972,0,
C00067,F,Nordeste,26-40,3971.65,517,20,0,0.084345,0,0.208909,0,
C00068,F,Norte,41-60,2442.93,461,95,0,0.253436,0,0.215905,0,
C00069,F,Nordeste,41-60,1630.41,535,106,0,0.147576,0,0.10097,0,
C00070,F,Sudeste,26-40,3195.44,652,101,1,0.765761,1,0.731278,1,
C00071,F,Sudeste,18-25,1712.55,579,0,0,0.050873,0,0.161127,0,
C00072,F,Nordeste,26-40,2453.8,566,3,1,0.04521,0,0.142381,0,
C00073,F,Sudeste,26-40,3121.41,662,58,0,0.612563,1,0.723144,1,
C00074,M,Sudeste,60+,6107.57,676,273,1,0.994274,1,0.910053,1,
C00075,M,Sudeste,18-25,1587.8,661,35,0,0.132857,0,0.245963,0,
C00076,F,Nordeste,26-40,1797.67,504,14,1,0.046051,0,0.118115,0,
C00077,F,Nordeste,41-60,2094.28,454,109,0,0.097792,0,0.061749,0,
C00078,F,Sul,18-25,1254.42,600,39,0,0.159692,0,0.274775,0,
C00079,M,Norte,18-25,1459.25,524,0,0,0.024376,0,0.07904,0,
C00080,F,Sudeste,18-25,1095.25,577,0,1,0.039715,0,0.130061,0,
C00081,F,Sul,26-40,2662.94,547,2,0,0.155766,0,0.408067,0,
C00082,F,Sul,26-40,3441.98,501,0,0,0.089135,0,0.273961,0,
C00083,M,Nordeste,26-40,5736.16,726,64,1,0.702049,1,0.786028,1,
C00084,M,Norte,18-25,2491.67,641,4,1,0.260116,0,0.570217,1,
C00085,F,Sudeste,26-40,1524.52,510,1,0,0.05099,0,0.159922,0,
C00086,M,Sudeste,26-40,4814.65,672,52,0,0.482048,0,0.627032,1,
C00087,M,Sudeste,41-60,3460.58,621,100,1,0.36852,0,0.317634,0,
C00088,M,Nordeste,26-40,2918.78,551,74,0,0.200737,0,0.223393,0,
C00089,M,Sudeste,18-25,1508.44,623,9,0,0.205442,0,0.460529,0,
C00090,F,Sudeste,18-25,1985.23,668,55,0,0.488953,0,0.614844,1,
C00091,M,Nordeste,26-40,2786.13,568,58,0,0.285967,0,0.384383,0,
C00092,F,Nordeste,41-60,4000.96,696,138,1,0.890809,1,0.797537,1,
C00093,F,Nordeste,41-60,5876.8,548,150,0,0.802758,1,0.609357,1,
C00094,M,Nordeste,60+,5768.57,616,237,1,0.968159,1,0.751698,1,
C00095,M,Sudeste,26-40,1954.13,548,48,0,0.285749,0,0.412064,0,
C00096,F,Sudeste,26-40,2710.68,511,9,0,0.033853,0,0.098773,0,
C00097,M,Sudeste,18-25,1000.0,487,28,0,0.041956,0,0.087746,0,
C00098,M,Nordeste,41-60,4866.97,636,150,1,0.893282,1,0.767346,1,
C00099,F,Centro-Oeste,26-40,4151.05,511,12,1,0.121042,0,0.309707,0,
C00100,M,Nordeste,41-60,2727.6,501,95,0,0.370412,0,0.329702,0,
C00101,M,Centro-Oeste,60+,3213.55,539,227,0,0.783782,1,0.268514,0,
C00102,F,Centro-Oeste,26-40,3454.98,580,71,0,0.345045,0,0.39468,0,
C00103,F,Norte,41-60,7316.15,728,184,1,0.990313,1,0.962303,1,
C00104,F,Nordeste,26-40,7228.57,701,37,0,0.528327,1,0.729909,1,
C00105,M,Sudeste,18-25,1169.09,588,62,0,0.205973,0,0.261759,0,
C00106,F,Sudeste,26-40,2457.81,597,49,0,0.429639,0,0.576155,1,
C00107,M,Sudeste,41-60,4509.36,671,168,1,0.926777,1,0.791186,1,
C00108,F,Sudeste,41-60,4496.94,559,73,0,0.206796,0,0.240525,0,
C00109,M,Sul,26-40,5426.17,588,45,1,0.463138,0,0.639422,1,
C00110,M,Sudeste,26-40,5073.63,749,91,1,0.918974,1,0.923767,1,
C00111,F,Sudeste,26-40,5393.26,758,70,1,0.865628,1,0.906564,1,
C00112,F,Sudeste,41-60,5758.51,666,142,1,0.86474,1,0.737159,1,
C00113,M,Sudeste,26-40,3160.62,608,109,0,0.584432,1,0.501823,1,
C00114,M,Sudeste,26-40,2669.48,737,81,0,0.800302,1,0.82479,1,
C00115,M,Sul,60+,4050.16,615,230,0,0.969211,1,0.772258,1,
C00116,M,Nordeste,26-40,1478.51,557,70,1,0.096876,0,0.109929,0,
C00117,M,Sudeste,26-40,6097.31,585,91,1,0.673925,1,0.673811,1,
C00118,F,Sudeste,41-60,2943.83,655,93,1,0.61261,1,0.597725,1,
C00119,M,Sudeste,41-60,4659.43,612,145,1,0.761171,1,0.572249,1,
C00120,F,Nordeste,26-40,1412.01,561,44,1,0.168069,0,0.26936,0,
C00121,F,Sul,26-40,2706.99,550,0,0,0.050675,0,0.16418,0,
C00122,M,Nordeste,26-40,7186.38,770,92,1,0.901327,1,0.909239,1,
C00123,M,Sul,26-40,1932.43,562,51,1,0.304286,0,0.423652,0,
C00124,F,Sudeste,60+,3964.97,647,171,0,0.943522,1,0.823214,1,
C00125,M,Centro-Oeste,26-40,3928.35,591,34,0,0.323441,0,0.532351,1,
C00126,M,Sudeste,18-25,1800.52,613,0,0,0.154892,0,0.413716,0,
C00127,M,Sudeste,41-60,5457.48,489,148,1,0.390328,0,0.188495,0,
C00128,F,Sudeste,26-40,1275.44,513,0,0,0.047929,0,0.151535,0,
C00129,F,Sudeste,26-40,3766.71,452,5,0,0.051914,0,0.160928,0,
C00130,F,Sul,26-40,2707.61,592,56,0,0.392573,0,0.512224,1,
C00131,M,Sul,26-40,2743.08,532,28,0,0.073789,0,0.157178,0,
C00132,F,Sudeste,41-60,4779.32,526,143,1,0.568322,1,0.353729,0,
C00133,F,Norte,41-60,2481.54,592,127,1,0.419687,0,0.264377,0,
C00134,F,Sudeste,26-40,2906.28,649,27,1,0.428657,0,0.66678,1,
C00135,M,Nordeste,26-40,2815.31,579,63,1,0.393089,0,0.484227,0,
C00136,M,Sul,41-60,2539.22,618,118,0,0.563868,1,0.429399,0,
C00137,M,Sudeste,18-25,1420.97,636,0,0,0.087651,0,0.268119,0,
C00138,F,Nordeste,41-60,3328.04,634,144,1,0.755477,1,0.563825,1,
C00139,F,Nordeste,26-40,4004.34,605,104,0,0.741234,1,0.693776,1,
C00140,M,Nordeste,41-60,3751.41,576,135,0,0.65473,1,0.47321,0,
C00141,F,Sudeste,26-40,2668.17,703,83,1,0.814035,1,0.830386,1,
C00142,M,Sudeste,26-40,6206.72,750,56,1,0.825291,1,0.899614,1,
